dedo1,dedo2,dedo3,dedo4,dedo5,mano
3427.85,1053.48,1952.34,1081.04,1616.38,1271.59
3487.88,1086.99,1935.27,1078.03,1559.7,1261.47
3609.31,1011.39,1868.42,1116.43,1545.36,1242.78
3706.44,981.51,1933.13,1111.34,1604.89,1243.82
3784.16,926.01,2009.51,1125.87,1775.31,1210.46
3755.92,874.61,1992.61,1105.3,1811.65,1190.57
3748.14,882.89,2019.48,1099.64,1778.52,1160.45
3817.51,878.91,2187.99,1132.11,1841.82,1128.16
3725.41,797.93,2310.39,1130.69,1882.05,1162.13
3671.53,813.34,2181.11,1165.95,1856.64,1159.9
3500.22,746.27,2131.09,1181.36,1860.31,1126.52
3439.98,808.62,2171.87,1211.89,1887.25,1117.82
3570.98,918.89,2309.9,1235.71,1885.4,1119.05
3437.19,916.52,2385.92,1246.77,1862.12,1032.64
3558.75,870.81,2356.93,1227.42,1875.5,958.52
3653.2,885.45,2348.95,1234.73,1863.8,868.61
3393.96,859.76,2465.16,1245.39,1836.84,813.89
3334.17,837.01,2628.33,1251.91,1771.27,829.31
3201.93,856.61,2541.66,1235.13,1739.62,897.05
3143.95,804.29,2513.73,1243.1,1695.69,865.24
3167.96,771.03,2599.78,1244.08,1765.75,922.99
2983.17,818.62,2714.83,1223.06,1743.6,965.59
3064.33,787.9,2662.86,1239.05,1789.48,893.87
3232.27,814.52,2573.89,1257.84,1803.99,777.5
3386.41,757.21,2498.51,1271.87,1804.79,675.6
3528.13,882.77,2461.61,1229.3,1743.63,589.48
3641.5,930.82,2478.09,1208.44,1714.9,510.18
3732.2,801.25,2570.87,1199.95,1697.12,607.35
3661.56,772.6,2533.9,1197.36,1687.5,570.48
3748.25,714.08,2552.32,1220.49,1692.4,522.98
3817.6,652.27,2611.45,1237.59,1670.52,477.99
3800.88,561.81,2473.16,1239.87,1593.62,431.59
3670.1,621.45,2384.93,1219.5,1577.89,406.87
3568.28,639.36,2612.94,1197.0,1512.11,436.3
3558.63,607.29,2613.16,1164.6,1512.49,354.64
3490.1,604.23,2646.92,1142.48,1451.99,388.91
3519.28,696.78,2694.74,1147.58,1450.19,384.73
3284.82,748.23,2698.59,1154.67,1478.76,323.78
3255.06,723.78,2977.87,1134.93,1476.2,380.03
3102.25,852.03,2750.3,1109.35,1421.16,438.42
3021.2,851.22,2738.44,1120.28,1532.93,366.74
3029.56,760.18,2878.35,1157.62,1493.74,352.99
2902.65,762.94,3121.68,1184.7,1566.8,322.79
2907.72,793.75,3000.14,1172.76,1560.44,289.03
2875.37,707.4,2909.52,1193.21,1571.35,286.83
2725.7,749.92,3097.61,1158.97,1556.48,290.26
2627.76,715.74,3083.09,1131.57,1524.18,327.81
2463.81,719.19,3089.87,1109.86,1519.95,410.05
2388.45,888.75,2977.1,1133.29,1537.16,522.84
2312.96,831.6,3079.68,1132.63,1603.33,452.27
2265.77,770.88,3091.14,1124.5,1610.26,390.02
2269.41,717.1,2984.71,1148.8,1649.41,516.61
2169.13,667.88,3041.57,1168.64,1623.53,550.89
2113.9,653.71,3081.66,1168.71,1621.02,497.11
2063.72,605.57,2929.33,1185.97,1607.42,515.89
1987.78,586.65,2985.86,1155.58,1552.33,576.91
1939.42,542.32,2887.89,1134.46,1467.27,482.13
1853.14,472.26,2806.11,1099.57,1461.41,418.1
1845.11,474.41,2808.29,1119.66,1411.33,439.68
1801.49,489.52,2811.23,1129.52,1353.66,482.75
1776.99,485.22,2756.78,1096.82,1356.73,465.0
1753.19,495.78,2832.23,1135.46,1309.39,450.0
1769.55,448.62,2819.58,1125.16,1319.31,366.8
1834.84,484.3,2753.07,1090.73,1346.65,520.64
1849.67,493.64,2696.25,1086.19,1325.92,572.91
1833.94,491.71,2674.4,1032.95,1296.93,487.73
1978.95,478.77,2720.72,996.96,1239.95,412.78
2005.56,511.61,2806.98,974.97,1354.36,516.03
2017.65,763.69,2827.78,964.37,1413.09,442.82
1945.52,653.55,2926.03,937.9,1391.87,455.46
1852.22,628.44,3023.82,914.92,1484.9,365.37
1798.17,579.55,2902.46,894.14,1521.12,308.49
1706.34,518.04,2845.56,900.51,1410.09,345.99
1703.27,497.63,2764.85,868.81,1476.87,337.6
1641.22,494.51,2721.28,888.85,1488.1,292.48
1569.57,508.61,2683.82,851.28,1386.88,281.58
1566.66,474.28,2626.86,863.02,1413.9,252.06
1559.33,523.03,2621.29,840.22,1404.52,352.25
1536.86,467.62,2661.63,796.97,1423.62,285.0
1530.49,454.1,2637.1,777.78,1465.69,295.2
1536.79,446.68,2586.88,724.42,1443.56,287.16
1495.23,469.34,2451.31,701.94,1461.44,267.13
1464.79,431.07,2528.45,645.55,1511.76,234.7
1462.43,431.46,2616.76,615.04,1545.6,199.96
1449.34,418.77,2590.41,589.43,1515.88,266.17
1446.67,400.01,2534.92,547.35,1537.31,228.74
1417.94,387.21,2387.34,538.08,1463.65,214.59
1562.95,517.57,2383.87,531.86,1535.32,253.87
1497.56,513.66,2298.5,479.89,1566.05,317.3
1449.05,506.52,2502.0,422.11,1569.24,275.64
1438.64,466.02,2500.8,376.69,1549.99,279.11
1411.51,497.42,2323.24,317.15,1505.4,237.49
1457.41,476.33,2296.99,317.92,1452.92,205.99
1420.93,572.07,2309.79,348.14,1370.13,234.19
1448.14,510.05,2277.63,357.91,1352.51,241.75
1463.51,507.24,2337.91,317.73,1397.21,235.4
1327.81,479.39,2299.73,286.78,1338.56,214.12
1430.85,497.71,2517.58,236.83,1305.45,205.1
1357.88,468.57,2465.26,254.46,1261.96,184.28
1292.5,573.66,2371.81,260.97,1329.77,188.22
1307.6,538.33,2230.25,241.57,1370.82,169.58
1285.08,479.46,2222.6,225.66,1413.45,196.46
1218.67,476.17,2200.48,247.33,1419.36,263.97
1191.53,462.13,2192.98,230.26,1451.29,287.98
1301.03,497.51,2207.79,307.81,1445.63,345.38
1299.22,491.41,2187.63,287.25,1498.71,388.5
1261.58,468.13,2158.3,256.0,1394.16,354.2
1230.06,493.9,2150.44,254.8,1431.13,338.56
1254.65,589.32,2001.35,264.04,1442.51,377.85
1131.72,592.06,1908.08,228.23,1459.2,390.08
1074.98,563.24,1960.27,211.38,1445.36,423.06
1078.78,609.6,1886.81,214.31,1440.09,486.85
1152.82,765.08,1924.25,195.85,1428.07,536.08
1309.26,749.26,1830.4,182.88,1492.46,575.46
1279.01,712.41,1828.52,167.5,1475.77,619.77
1156.61,685.13,1761.02,161.6,1591.61,692.82
1150.08,685.1,1769.21,168.68,1580.29,769.05
1171.47,679.28,1872.77,160.94,1524.23,815.04
1126.97,722.83,1801.02,163.96,1568.19,849.23
1119.78,751.26,1824.21,171.96,1524.55,865.39
1110.02,691.61,1694.17,166.97,1457.04,923.71
1041.62,714.29,1748.94,168.98,1528.63,937.37
1086.5,661.03,1668.15,171.78,1457.9,981.29
1030.6,817.82,1669.12,207.83,1394.72,996.24
972.48,869.26,1678.1,250.06,1414.38,1001.19
973.38,827.01,1597.48,239.85,1364.5,978.35
1091.31,798.21,1730.98,232.28,1428.2,962.48
1028.04,743.16,1879.38,287.42,1420.76,980.18
1096.24,707.93,1830.51,242.34,1461.81,1007.75
1148.99,728.95,1976.01,239.67,1455.25,1020.4
1219.99,729.56,2262.21,232.14,1349.4,1050.32
1211.39,715.05,2303.96,219.71,1355.12,1093.05
1304.51,730.24,2453.97,224.37,1279.89,1119.44
1328.41,698.99,2686.98,194.49,1308.92,1101.76
1319.13,714.79,2943.38,183.4,1313.13,1132.2
1215.7,722.23,3173.71,192.52,1304.51,1134.16
1250.96,713.19,3357.96,255.01,1326.8,1092.53
1248.17,771.95,3505.37,243.81,1301.64,1074.22
1239.34,761.76,3623.3,217.65,1265.92,1081.58
1194.87,714.01,3717.64,196.92,1229.33,1127.46
1144.5,678.01,3663.31,176.13,1232.67,1163.97
1074.6,664.0,3749.65,163.91,1303.53,1152.58
1286.88,637.2,3818.72,158.93,1321.83,1160.66
1334.1,627.76,3873.97,152.74,1361.06,1122.33
1288.68,637.41,3918.18,152.79,1361.85,1126.86
1275.15,700.93,3953.54,145.03,1413.68,1120.49
1202.72,662.94,3981.84,148.63,1415.54,1119.39
1362.77,668.95,4004.47,141.3,1461.83,1171.71
1248.42,673.16,4022.57,203.84,1532.87,1212.17
1046.33,740.73,4037.06,195.27,1526.69,1299.34
1031.87,762.18,4048.65,200.42,1510.56,1305.07
967.69,729.55,4057.92,214.73,1582.84,1418.86
901.96,807.84,4065.33,201.99,1509.88,1303.48
881.76,758.27,4071.27,235.19,1449.7,1211.59
981.41,730.22,4076.01,258.95,1442.36,1225.27
950.33,729.37,4079.81,248.96,1495.09,1232.62
888.66,830.5,4082.85,301.37,1497.67,1334.29
963.13,781.0,4085.28,275.1,1534.14,1333.03
911.5,754.8,4087.22,306.48,1521.11,1299.03
988.6,746.04,4088.78,313.78,1510.09,1337.42
1037.48,724.63,4090.02,375.02,1547.47,1271.74
1095.59,735.51,4091.02,348.02,1532.78,1245.39
1269.87,707.0,4091.81,299.02,1516.42,1403.71
1270.9,664.8,4092.45,286.61,1479.34,1375.17
1304.92,611.24,4092.96,293.49,1391.87,1404.14
1299.93,681.79,4093.37,263.99,1459.1,1393.31
1294.95,650.84,4014.7,272.19,1366.88,1492.05
1262.76,632.47,4030.76,268.95,1349.9,1489.04
1253.41,634.37,4043.6,341.96,1342.92,1520.23
1262.12,589.5,4053.88,388.37,1434.14,1590.58
1355.7,538.4,4062.11,416.5,1361.11,1680.87
1420.96,491.52,3951.69,368.4,1264.89,1650.69
1443.77,531.22,3980.35,328.12,1336.11,1781.35
