dedo1,dedo2,dedo3,dedo4,dedo5,mano
4085.66,4061.19,253.22,3986.26,4082.94,4094.81
4087.53,4067.95,212.58,4008.01,4085.35,4094.84
3955.42,3962.16,222.26,4025.41,4087.28,4094.88
3983.34,3988.73,212.61,4039.33,4088.83,4094.9
4002.67,4009.98,196.69,4050.46,4090.06,4094.92
4021.14,4026.99,177.35,4059.37,4091.05,4094.94
3921.51,4040.59,168.68,4066.5,4091.84,4094.95
3839.21,4051.47,151.54,3950.6,4092.47,4094.96
3807.17,4060.18,142.43,3979.48,4092.98,4094.97
3784.93,4067.14,142.55,4002.58,4067.78,4094.97
3639.15,4072.71,130.44,3831.47,4073.23,4094.98
3362.52,4077.17,117.35,3668.57,3984.78,4094.98
3128.01,4080.74,117.48,3626.66,4006.82,4094.99
2952.41,4083.59,127.98,3720.33,4024.46,4094.99
